x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,lettr
0.2,0.267,0.267,0.4,0.4,0.533,0.6,0.333,0.0,0.533,0.4,0.4,0.333,0.6,0.333,0.533,P
0.267,0.6,0.333,0.467,0.267,0.333,0.467,0.4,0.333,0.6,0.533,0.667,0.133,0.533,0.267,0.6,G
0.333,0.6,0.333,0.4,0.133,0.267,0.467,0.6,0.133,0.467,0.333,0.733,0.267,0.533,0.133,0.733,K
0.2,0.333,0.333,0.467,0.333,0.6,0.667,0.2,0.067,0.533,0.4,0.467,0.2,0.667,0.533,0.4,H
0.267,0.467,0.267,0.333,0.267,0.467,0.533,0.333,0.6,0.467,0.467,0.6,0.067,0.6,0.467,0.533,Z
0.467,0.733,0.467,0.4,0.333,0.467,0.4,0.2,0.333,0.533,0.267,0.6,0.4,0.533,0.4,0.467,R
0.267,0.4,0.267,0.267,0.133,0.333,0.8,0.2,0.4,0.733,0.6,0.333,0.133,0.733,0.133,0.333,T
0.133,0.133,0.267,0.267,0.133,0.467,0.4,0.4,0.333,0.4,0.4,0.6,0.133,0.6,0.267,0.6,G
0.2,0.333,0.267,0.467,0.133,0.2,0.533,0.4,0.733,0.467,0.333,1.0,0.0,0.533,0.467,0.467,E
0.333,0.6,0.467,0.467,0.2,0.6,0.333,0.267,0.4,1.0,0.333,0.733,0.067,0.4,0.0,0.467,J
0.333,0.6,0.4,0.333,0.267,0.533,0.467,0.2,0.333,0.667,0.267,0.533,0.333,0.467,0.267,0.467,H
0.267,0.467,0.4,0.467,0.2,0.6,0.4,0.533,0.467,0.467,0.333,0.667,0.2,0.533,0.267,0.533,Q
0.067,0.067,0.067,0.2,0.067,0.467,0.467,0.067,0.533,0.467,0.4,0.533,0.0,0.533,0.2,0.533,I
0.333,0.733,0.4,0.533,0.267,0.4,0.6,0.667,0.333,0.4,0.333,0.533,0.2,0.533,0.4,0.733,R
0.267,0.267,0.4,0.2,0.2,0.667,0.4,0.2,0.267,0.6,0.267,0.467,0.467,0.4,0.133,0.533,M
0.067,0.0,0.133,0.0,0.067,0.4,0.667,0.467,0.133,0.467,0.333,0.533,0.133,0.467,0.267,0.6,R
0.267,0.667,0.4,0.467,0.333,0.467,0.533,0.4,0.333,0.533,0.333,0.6,0.2,0.4,0.4,0.733,R
0.2,0.467,0.333,0.333,0.133,0.333,0.8,0.267,0.4,0.8,0.6,0.267,0.067,0.667,0.2,0.267,F
0.333,0.733,0.467,0.533,0.533,0.467,0.467,0.4,0.4,0.4,0.4,0.333,0.4,0.533,0.2,0.467,D
0.4,0.733,0.533,0.533,0.533,0.533,0.467,0.4,0.333,0.4,0.4,0.6,0.4,0.533,0.467,0.2,A
0.2,0.267,0.333,0.133,0.2,0.533,0.533,0.2,0.333,0.6,0.333,0.467,0.2,0.4,0.267,0.667,R
0.267,0.667,0.4,0.533,0.2,0.467,0.667,0.067,0.467,0.467,0.8,0.533,0.067,0.733,0.133,0.533,Y
0.467,1.0,0.467,0.533,0.333,0.6,0.2,0.267,0.267,0.8,0.467,0.733,0.267,0.533,0.467,0.6,L
0.333,0.667,0.467,0.533,0.6,0.533,0.533,0.4,0.2,0.467,0.467,0.533,0.533,0.467,0.267,0.467,V
0.0,0.0,0.0,0.0,0.0,0.467,0.467,0.267,0.267,0.467,0.4,0.533,0.0,0.533,0.0,0.533,I
0.333,0.4,0.4,0.333,0.4,0.467,0.467,0.267,0.2,0.467,0.333,0.467,0.4,0.6,0.333,0.333,N
0.133,0.2,0.267,0.267,0.067,0.467,0.533,0.267,0.133,0.467,0.867,0.533,0.2,0.667,0.0,0.533,V
0.2,0.533,0.267,0.4,0.2,0.467,0.533,0.4,0.667,0.4,0.267,0.6,0.2,0.533,0.4,0.533,E
0.133,0.267,0.133,0.2,0.133,0.467,0.467,0.267,0.333,0.4,0.333,0.467,0.133,0.467,0.267,0.533,R
0.2,0.4,0.267,0.267,0.133,0.4,0.467,0.4,0.467,0.4,0.467,0.8,0.067,0.533,0.267,0.667,C
0.267,0.533,0.333,0.4,0.2,0.4,0.867,0.533,0.267,0.467,0.133,0.6,0.2,0.467,0.4,0.667,R
0.333,0.467,0.267,0.667,0.267,0.6,0.333,0.333,0.333,0.733,0.333,0.467,0.2,0.6,0.533,0.667,Z
0.267,0.533,0.267,0.4,0.2,0.067,0.867,0.267,0.2,0.8,0.667,0.467,0.0,0.533,0.133,0.4,F
0.267,0.267,0.333,0.2,0.267,0.467,0.467,0.4,0.4,0.467,0.4,0.667,0.2,0.533,0.2,0.6,H
0.267,0.533,0.333,0.4,0.333,0.533,0.533,0.467,0.333,0.533,0.333,0.467,0.467,0.533,0.4,0.733,R
0.333,0.533,0.467,0.4,0.467,0.467,0.533,0.067,0.267,0.667,0.467,0.4,0.333,0.667,0.2,0.333,F
